
(RL-torch) C:\Users\kator\OneDrive\ドキュメント\ResearchFloodit\excute file>python floodit-torch-learning.py
pygame 2.0.1 (SDL 2.0.14, Python 3.7.10)
Hello from the pygame community. https://www.pygame.org/contribute.html



**************************************************  FloodIt  **************************************************
action_space      : Discrete(6)
observation_space : Box(0, 5, (1, 6, 6), uint8)
reward_range      : (-inf, inf)

cnn_out_size= 512
cnn_out_size= 512
Episode: 100,  Episode-Step: 1,  Reward: -0.5
Episode: 200,  Episode-Step: 1,  Reward: -0.5
Episode: 300,  Episode-Step: 1,  Reward: -0.5
Episode: 400,  Episode-Step: 1,  Reward: -0.5
Episode: 500,  Episode-Step: 1,  Reward: -0.5
Episode: 600,  Episode-Step: 1,  Reward: -0.5
Episode: 700,  Episode-Step: 1,  Reward: -0.5
Episode: 800,  Episode-Step: 1,  Reward: -0.5
Episode: 900,  Episode-Step: 2,  Reward: 1.075
Episode: 1000,  Episode-Step: 2,  Reward: -0.425
Episode: 1100,  Episode-Step: 1,  Reward: -0.5
Episode: 1200,  Episode-Step: 1,  Reward: -0.5
Episode: 1300,  Episode-Step: 1,  Reward: -0.5
Episode: 1400,  Episode-Step: 1,  Reward: -0.5
Episode: 1500,  Episode-Step: 1,  Reward: -0.5
Episode: 1600,  Episode-Step: 1,  Reward: -0.5
Episode: 1700,  Episode-Step: 1,  Reward: -0.5
Episode: 1800,  Episode-Step: 1,  Reward: -0.5
Episode: 1900,  Episode-Step: 1,  Reward: -0.5
Episode: 2000,  Episode-Step: 1,  Reward: -0.5
Episode: 2100,  Episode-Step: 1,  Reward: -0.5
Episode: 2200,  Episode-Step: 1,  Reward: -0.5
Episode: 2300,  Episode-Step: 1,  Reward: -0.5
Episode: 2400,  Episode-Step: 5,  Reward: 0.3833333333333332
Episode: 2500,  Episode-Step: 1,  Reward: -0.5
Episode: 2600,  Episode-Step: 1,  Reward: -0.5
Episode: 2700,  Episode-Step: 2,  Reward: 0.825
Episode: 2800,  Episode-Step: 1,  Reward: -0.5
Episode: 2900,  Episode-Step: 1,  Reward: -0.5
Episode: 3000,  Episode-Step: 1,  Reward: -0.5
Episode: 3100,  Episode-Step: 1,  Reward: -0.5
Episode: 3200,  Episode-Step: 1,  Reward: -0.5
Episode: 3300,  Episode-Step: 1,  Reward: -0.5
Episode: 3400,  Episode-Step: 1,  Reward: -0.5
Episode: 3500,  Episode-Step: 5,  Reward: 1.7166666666666668
Episode: 3600,  Episode-Step: 1,  Reward: -0.5
Episode: 3700,  Episode-Step: 2,  Reward: 1.7416666666666667
Episode: 3800,  Episode-Step: 1,  Reward: -0.5
Episode: 3900,  Episode-Step: 1,  Reward: -0.5
Episode: 4000,  Episode-Step: 1,  Reward: -0.5
Episode: 4100,  Episode-Step: 1,  Reward: -0.5
Episode: 4200,  Episode-Step: 1,  Reward: -0.5
Episode: 4300,  Episode-Step: 3,  Reward: 0.7333333333333334
Episode: 4400,  Episode-Step: 1,  Reward: -0.5
Episode: 4500,  Episode-Step: 1,  Reward: -0.5
Episode: 4600,  Episode-Step: 1,  Reward: -0.5
Episode: 4700,  Episode-Step: 1,  Reward: -0.5
Episode: 4800,  Episode-Step: 1,  Reward: -0.5
Episode: 4900,  Episode-Step: 2,  Reward: 0.9916666666666667
Episode: 5000,  Episode-Step: 1,  Reward: -0.5
Episode: 5100,  Episode-Step: 1,  Reward: -0.5
Episode: 5200,  Episode-Step: 1,  Reward: -0.5
Episode: 5300,  Episode-Step: 1,  Reward: -0.5
Episode: 5400,  Episode-Step: 1,  Reward: -0.5
Episode: 5500,  Episode-Step: 1,  Reward: -0.5
Episode: 5600,  Episode-Step: 1,  Reward: -0.5
Episode: 5700,  Episode-Step: 1,  Reward: -0.5
Episode: 5800,  Episode-Step: 1,  Reward: -0.5
Episode: 5900,  Episode-Step: 1,  Reward: -0.5
Episode: 6000,  Episode-Step: 1,  Reward: -0.5
Episode: 6100,  Episode-Step: 4,  Reward: 0.05833333333333335
Episode: 6200,  Episode-Step: 2,  Reward: 1.1583333333333332
Episode: 6300,  Episode-Step: 1,  Reward: -0.5
Episode: 6400,  Episode-Step: 1,  Reward: -0.5
Episode: 6500,  Episode-Step: 1,  Reward: -0.5
Episode: 6600,  Episode-Step: 3,  Reward: 2.316666666666667
Episode: 6700,  Episode-Step: 1,  Reward: -0.5
Episode: 6800,  Episode-Step: 1,  Reward: -0.5
Episode: 6900,  Episode-Step: 3,  Reward: 2.2333333333333334
Episode: 7000,  Episode-Step: 1,  Reward: -0.5
Episode: 7100,  Episode-Step: 1,  Reward: -0.5
Episode: 7200,  Episode-Step: 1,  Reward: -0.5
Episode: 7300,  Episode-Step: 1,  Reward: -0.5
Episode: 7400,  Episode-Step: 1,  Reward: -0.5
Episode: 7500,  Episode-Step: 1,  Reward: -0.5
Episode: 7600,  Episode-Step: 1,  Reward: -0.5
Episode: 7700,  Episode-Step: 1,  Reward: -0.5
Episode: 7800,  Episode-Step: 3,  Reward: 1.9833333333333334
Episode: 7900,  Episode-Step: 3,  Reward: 1.15
Episode: 8000,  Episode-Step: 1,  Reward: -0.5
Episode: 8100,  Episode-Step: 1,  Reward: -0.5
Episode: 8200,  Episode-Step: 1,  Reward: -0.5
Episode: 8300,  Episode-Step: 1,  Reward: -0.5
Episode: 8400,  Episode-Step: 1,  Reward: -0.5
Episode: 8500,  Episode-Step: 1,  Reward: -0.5
Episode: 8600,  Episode-Step: 1,  Reward: -0.5
Episode: 8700,  Episode-Step: 2,  Reward: -0.425
Episode: 8800,  Episode-Step: 1,  Reward: -0.5
Episode: 8900,  Episode-Step: 2,  Reward: -0.425
Episode: 9000,  Episode-Step: 1,  Reward: -0.5
Episode: 9100,  Episode-Step: 1,  Reward: -0.5
Episode: 9200,  Episode-Step: 1,  Reward: -0.5
Episode: 9300,  Episode-Step: 1,  Reward: -0.5
Episode: 9400,  Episode-Step: 1,  Reward: -0.5
Episode: 9500,  Episode-Step: 1,  Reward: -0.5
Episode: 9600,  Episode-Step: 1,  Reward: -0.5
Episode: 9700,  Episode-Step: 1,  Reward: -0.5
Episode: 9800,  Episode-Step: 1,  Reward: -0.5
Episode: 9900,  Episode-Step: 1,  Reward: -0.5
Episode: 10000,  Episode-Step: 1,  Reward: -0.5
Episode: 10100,  Episode-Step: 1,  Reward: -0.5
Episode: 10200,  Episode-Step: 1,  Reward: -0.5
Episode: 10300,  Episode-Step: 1,  Reward: -0.5
Episode: 10400,  Episode-Step: 1,  Reward: -0.5
Episode: 10500,  Episode-Step: 1,  Reward: -0.5
Episode: 10600,  Episode-Step: 1,  Reward: -0.5
Episode: 10700,  Episode-Step: 1,  Reward: -0.5
Episode: 10800,  Episode-Step: 1,  Reward: -0.5
Episode: 10900,  Episode-Step: 2,  Reward: -0.425
Episode: 11000,  Episode-Step: 1,  Reward: -0.5
Episode: 11100,  Episode-Step: 1,  Reward: -0.5
Episode: 11200,  Episode-Step: 1,  Reward: -0.5
Episode: 11300,  Episode-Step: 1,  Reward: -0.5
Episode: 11400,  Episode-Step: 2,  Reward: 1.2416666666666667
Episode: 11500,  Episode-Step: 1,  Reward: -0.5
Episode: 11600,  Episode-Step: 1,  Reward: -0.5
Episode: 11700,  Episode-Step: 1,  Reward: -0.5
Episode: 11800,  Episode-Step: 4,  Reward: 3.8083333333333336
Episode: 11900,  Episode-Step: 1,  Reward: -0.5
Episode: 12000,  Episode-Step: 2,  Reward: 1.9083333333333332
Episode: 12100,  Episode-Step: 1,  Reward: -0.5
Episode: 12200,  Episode-Step: 1,  Reward: -0.5
Episode: 12300,  Episode-Step: 2,  Reward: 1.075
Episode: 12400,  Episode-Step: 2,  Reward: 0.575
Episode: 12500,  Episode-Step: 2,  Reward: -0.425
Episode: 12600,  Episode-Step: 1,  Reward: -0.5
Episode: 12700,  Episode-Step: 1,  Reward: -0.5
Episode: 12800,  Episode-Step: 2,  Reward: -0.17500000000000004
Episode: 12900,  Episode-Step: 1,  Reward: -0.5
Episode: 13000,  Episode-Step: 1,  Reward: -0.5
Episode: 13100,  Episode-Step: 1,  Reward: -0.5
Episode: 13200,  Episode-Step: 2,  Reward: 0.6583333333333334
Episode: 13300,  Episode-Step: 1,  Reward: -0.5
Episode: 13400,  Episode-Step: 1,  Reward: -0.5
Episode: 13500,  Episode-Step: 1,  Reward: -0.5
Episode: 13600,  Episode-Step: 1,  Reward: -0.5
Episode: 13700,  Episode-Step: 1,  Reward: -0.5
Episode: 13800,  Episode-Step: 1,  Reward: -0.5
Episode: 13900,  Episode-Step: 1,  Reward: -0.5
Episode: 14000,  Episode-Step: 1,  Reward: -0.5
Episode: 14100,  Episode-Step: 3,  Reward: 2.2333333333333334
Episode: 14200,  Episode-Step: 1,  Reward: -0.5
Episode: 14300,  Episode-Step: 1,  Reward: -0.5
Episode: 14400,  Episode-Step: 1,  Reward: -0.5
Episode: 14500,  Episode-Step: 1,  Reward: -0.5
Episode: 14600,  Episode-Step: 1,  Reward: -0.5
Episode: 14700,  Episode-Step: 1,  Reward: -0.5
Episode: 14800,  Episode-Step: 1,  Reward: -0.5
Episode: 14900,  Episode-Step: 1,  Reward: -0.5
Episode: 15000,  Episode-Step: 1,  Reward: -0.5
Episode: 15100,  Episode-Step: 1,  Reward: -0.5
Episode: 15200,  Episode-Step: 1,  Reward: -0.5
Episode: 15300,  Episode-Step: 1,  Reward: -0.5
Episode: 15400,  Episode-Step: 1,  Reward: -0.5
Episode: 15500,  Episode-Step: 2,  Reward: 0.575
Episode: 15600,  Episode-Step: 2,  Reward: -0.425
Episode: 15700,  Episode-Step: 1,  Reward: 1
Episode: 15800,  Episode-Step: 1,  Reward: -0.5
Episode: 15900,  Episode-Step: 1,  Reward: -0.5
Episode: 16000,  Episode-Step: 1,  Reward: -0.5
Episode: 16100,  Episode-Step: 3,  Reward: 1.65
Episode: 16200,  Episode-Step: 1,  Reward: -0.5
Episode: 16300,  Episode-Step: 1,  Reward: -0.5
Episode: 16400,  Episode-Step: 3,  Reward: 0.9833333333333334
Episode: 16500,  Episode-Step: 1,  Reward: -0.5
Episode: 16600,  Episode-Step: 1,  Reward: -0.5
Episode: 16700,  Episode-Step: 1,  Reward: -0.5
Episode: 16800,  Episode-Step: 1,  Reward: -0.5
Episode: 16900,  Episode-Step: 1,  Reward: -0.5
Episode: 17000,  Episode-Step: 4,  Reward: 1.225
Episode: 17100,  Episode-Step: 1,  Reward: -0.5
Episode: 17200,  Episode-Step: 1,  Reward: -0.5
Episode: 17300,  Episode-Step: 1,  Reward: -0.5
Episode: 17400,  Episode-Step: 1,  Reward: -0.5
Episode: 17500,  Episode-Step: 1,  Reward: -0.5
Episode: 17600,  Episode-Step: 1,  Reward: -0.5
Episode: 17700,  Episode-Step: 1,  Reward: -0.5
Episode: 17800,  Episode-Step: 1,  Reward: -0.5
Episode: 17900,  Episode-Step: 1,  Reward: -0.5
Episode: 18000,  Episode-Step: 1,  Reward: -0.5
Episode: 18100,  Episode-Step: 1,  Reward: -0.5
Episode: 18200,  Episode-Step: 1,  Reward: -0.5
Episode: 18300,  Episode-Step: 1,  Reward: -0.5
Episode: 18400,  Episode-Step: 1,  Reward: -0.5
Episode: 18500,  Episode-Step: 1,  Reward: -0.5
Episode: 18600,  Episode-Step: 1,  Reward: -0.5
Episode: 18700,  Episode-Step: 1,  Reward: -0.5
Episode: 18800,  Episode-Step: 1,  Reward: -0.5
Episode: 18900,  Episode-Step: 1,  Reward: -0.5
Episode: 19000,  Episode-Step: 1,  Reward: -0.5
Episode: 19100,  Episode-Step: 1,  Reward: -0.5
Episode: 19200,  Episode-Step: 1,  Reward: -0.5
Episode: 19300,  Episode-Step: 2,  Reward: -0.425
Episode: 19400,  Episode-Step: 1,  Reward: -0.5
Episode: 19500,  Episode-Step: 2,  Reward: -0.425
Episode: 19600,  Episode-Step: 1,  Reward: -0.5
Episode: 19700,  Episode-Step: 1,  Reward: -0.5
Episode: 19800,  Episode-Step: 3,  Reward: 0.8999999999999999
Episode: 19900,  Episode-Step: 3,  Reward: 0.4833333333333334
Episode: 20000,  Episode-Step: 1,  Reward: -0.5
Episode: 20100,  Episode-Step: 1,  Reward: -0.5
Episode: 20200,  Episode-Step: 1,  Reward: -0.5
Episode: 20300,  Episode-Step: 2,  Reward: 0.4916666666666667
Episode: 20400,  Episode-Step: 2,  Reward: 2.075
Episode: 20500,  Episode-Step: 1,  Reward: -0.5
Episode: 20600,  Episode-Step: 3,  Reward: 2.0666666666666664
Episode: 20700,  Episode-Step: 1,  Reward: -0.5
Episode: 20800,  Episode-Step: 2,  Reward: 0.7416666666666667
Episode: 20900,  Episode-Step: 3,  Reward: -0.35
Episode: 21000,  Episode-Step: 4,  Reward: 2.0583333333333336
Episode: 21100,  Episode-Step: 1,  Reward: -0.5
Episode: 21200,  Episode-Step: 4,  Reward: 2.0583333333333336
Episode: 21300,  Episode-Step: 1,  Reward: -0.5
Episode: 21400,  Episode-Step: 1,  Reward: -0.5
Episode: 21500,  Episode-Step: 3,  Reward: 2.066666666666667
Episode: 21600,  Episode-Step: 1,  Reward: -0.5
Episode: 21700,  Episode-Step: 2,  Reward: 0.7416666666666667
Episode: 21800,  Episode-Step: 1,  Reward: -0.5
Episode: 21900,  Episode-Step: 1,  Reward: -0.5
Episode: 22000,  Episode-Step: 1,  Reward: -0.5
Episode: 22100,  Episode-Step: 3,  Reward: 2.15
Episode: 22200,  Episode-Step: 1,  Reward: -0.5
Episode: 22300,  Episode-Step: 1,  Reward: -0.5
Episode: 22400,  Episode-Step: 1,  Reward: -0.5
Episode: 22500,  Episode-Step: 2,  Reward: 1.9083333333333332
Episode: 22600,  Episode-Step: 2,  Reward: -0.425
Episode: 22700,  Episode-Step: 1,  Reward: -0.5
Episode: 22800,  Episode-Step: 1,  Reward: -0.5
Episode: 22900,  Episode-Step: 1,  Reward: -0.5
Episode: 23000,  Episode-Step: 1,  Reward: -0.5
Episode: 23100,  Episode-Step: 1,  Reward: -0.5
Episode: 23200,  Episode-Step: 1,  Reward: -0.5
Episode: 23300,  Episode-Step: 3,  Reward: -0.35
Episode: 23400,  Episode-Step: 2,  Reward: 0.575
