実験結果
life : changed_square, reward = result 

9 : 15,  1.2417 
8 : 16,  1.3250 
7 :  0, -0.5000 
6 :  2,  0.1583 
5 :  0, -0.5000 
4 :  1,  0.0750 
3 :  0, -0.5000 
2 :  1,  1.0000 Win

9 : 10,  0.8250 
8 :  0, -0.5000 
7 :  0, -0.5000 
6 :  0, -0.5000 
5 :  0, -0.5000 
4 :  0, -0.5000 
3 :  0, -0.5000 
2 :  0, -0.5000 
1 :  0, -0.5000 
0 :  0, -1.0000 Lose

9 : 29,  2.4083 
8 :  0, -0.5000 
7 :  5,  0.4083 
6 :  0, -0.5000 
5 :  1,  1.0000 Win

9 : 30,  2.4917 
8 :  3,  0.2417 
7 :  1,  0.0750 
6 :  1,  1.0000 Win

9 : 28,  2.3250 
8 :  4,  0.3250 
7 :  1,  0.0750 
6 :  1,  0.0750 
5 :  1,  1.0000 Win

